gameID,genre
53861,Real Time Strategy (RTS)
53861,Strategy
28391,Puzzle
69110,Adventure
69110,Visual Novel
43599,Racing
46589,Fighting
46589,Shooter
46589,Strategy
44527,Fighting
35917,Adventure
642,Racing
642,Simulator
642,Sport
219130,Visual Novel
219129,Visual Novel
6933,Fighting
6933,Shooter
6933,Platform
6933,Puzzle
6933,Adventure
6933,Arcade
7877,Fighting
7877,Hack and slash/Beat 'em up
7877,Adventure
175914,Card & Board Game
9269,Role-playing (RPG)
11394,Adventure
11394,Visual Novel
54246,Adventure
7584,Role-playing (RPG)
7584,Simulator
7584,Strategy
7584,Tactical
7584,Adventure
6174,Simulator
6174,Strategy
123337,Visual Novel
23849,Adventure
23849,Visual Novel
214,Role-playing (RPG)
214,Adventure
83,Role-playing (RPG)
83,Hack and slash/Beat 'em up
83,Adventure
98666,Visual Novel
42766,Puzzle
123130,Visual Novel
155207,Simulator
22773,Racing
9907,Role-playing (RPG)
9907,Strategy
9907,Adventure
60978,Visual Novel
45036,Shooter
7468,Real Time Strategy (RTS)
7468,Strategy
7468,Turn-based strategy (TBS)
20138,Shooter
240,Shooter
5871,Simulator
5871,Strategy
92629,NA
7173,Hack and slash/Beat 'em up
219135,Visual Novel
25368,Puzzle
25368,Strategy
80815,Real Time Strategy (RTS)
80815,Strategy
44415,Strategy
44415,Quiz/Trivia
44415,Card & Board Game
19195,Shooter
6538,Platform
6538,Racing
45411,Role-playing (RPG)
181385,Adventure
44590,NA
91253,Puzzle
37955,Strategy
47374,Racing
47374,Sport
50998,Sport
80230,NA
80386,Sport
78379,Fighting
2650,Fighting
67578,NA
59379,NA
79942,Role-playing (RPG)
210191,NA
80781,NA
41586,Sport
6343,Hack and slash/Beat 'em up
204566,Platform
204566,Hack and slash/Beat 'em up
7251,Fighting
7251,Sport
335,Shooter
203996,Visual Novel
4534,Shooter
4534,Platform
19936,Music
204613,Platform
204613,Hack and slash/Beat 'em up
69147,NA
49334,NA
78107,Role-playing (RPG)
78107,Tactical
42716,Puzzle
93991,Racing
57228,NA
21784,NA
99954,Simulator
99954,Strategy
49764,Sport
3786,Platform
3786,Adventure
49358,NA
146664,Visual Novel
137395,NA
3605,Platform
3605,Adventure
57560,NA
28056,Puzzle
28056,Racing
28056,Arcade
54096,Point-and-click
60481,Puzzle
201339,Simulator
201339,Strategy
132092,Visual Novel
78415,Turn-based strategy (TBS)
22100,Strategy
9320,Role-playing (RPG)
9320,Simulator
9320,Strategy
588,Role-playing (RPG)
588,Adventure
4633,Sport
8455,Puzzle
8455,Simulator
18541,Shooter
18541,Racing
6348,Role-playing (RPG)
6348,Strategy
136769,NA
24348,Simulator
209752,NA
3367,Sport
27641,Racing
27641,Simulator
6418,Hack and slash/Beat 'em up
6418,Adventure
47331,Simulator
47331,Sport
3868,Racing
3868,Sport
44519,Role-playing (RPG)
44519,Strategy
36366,Simulator
36366,Strategy
180401,Adventure
49217,NA
43391,Racing
10665,Puzzle
10665,Strategy
66989,Role-playing (RPG)
51135,Adventure
76852,Fighting
141653,Platform
6054,Arcade
5931,Puzzle
5931,Strategy
49288,Puzzle
49288,Strategy
91678,Sport
45022,Strategy
49219,Sport
6368,Racing
