kglID,gameID,Title,Year,Publisher,Main_Genre
340,352,Battlefield: Bad Company 2,2010,Electronic Arts,Shooter
341,7088,Guitar Hero: On Tour,2008,Activision,Misc
342,529,Far Cry 3,2012,Ubisoft,Shooter
343,65676,Monster Hunter 4,2013,Capcom,Role-Playing
344,498,Borderlands,2009,Take-Two Interactive,Shooter
345,1245,Tekken 4,2002,Namco Bandai Games,Fighting
346,2140,LittleBigPlanet 2,2011,Sony Computer Entertainment,Platform
347,200403,Grand Theft Auto 2,1998,Take-Two Interactive,Action
348,400,Final Fantasy III,1994,SquareSoft,Role-Playing
349,80446,Spider-Man 2,2004,Activision,Action
350,11689,F-1 Race,1990,Nintendo,Racing
351,209425,FIFA Soccer 2003,2002,Electronic Arts,Sports
352,1195,Crash Bash,2000,Sony Computer Entertainment,Misc
353,NA,LEGO Batman: The Videogame,2008,Warner Bros. Interactive Entertainment,Action
354,1985,Metal Gear Solid V: The Phantom Pain,2015,Konami Digital Entertainment,Action
355,1038,The Legend of Zelda: Spirit Tracks,2009,Nintendo,Action
356,206032,WWF War Zone,1998,Acclaim Entertainment,Fighting
357,1030,The Legend of Zelda: Majora's Mask,2000,Nintendo,Action
358,1399,Professor Layton and the Unwound Future,2008,Nintendo,Puzzle
359,NA,Rugrats: Search For Reptar,1998,THQ,Adventure
360,NA,English Training: Have Fun Improving Your Skills!,2006,Nintendo,Misc
361,1631,James Bond 007: Nightfire,2002,Electronic Arts,Shooter
362,1289,Ratchet & Clank,2002,Sony Computer Entertainment,Platform
363,2336,Mario Party 9,2012,Nintendo,Misc
364,NA,Star Wars Episode III: Revenge of the Sith,2005,LucasArts,Action
365,133860,Max Payne,2001,Take-Two Interactive,Shooter
366,135708,The Lord of the Rings: The Return of the King,2003,Electronic Arts,Action
367,8263,Assassin's Creed Syndicate,2015,Ubisoft,Action
368,4216,True Crime: Streets of LA,2003,Activision,Action
369,3244,Wii Music,2008,Nintendo,Misc
370,1594,Gran Turismo,2009,Sony Computer Entertainment,Racing
371,NA,Monster Hunter X,2015,Capcom,Action
372,1242,Tekken,1995,Sony Computer Entertainment,Fighting
373,109,L.A. Noire,2011,Take-Two Interactive,Adventure
374,11072,Madden NFL 16,2015,Electronic Arts,Sports
375,NA,Yokai Watch 2 Ganso/Honke,2014,Nintendo,Role-Playing
376,NA,007: Tomorrow Never Dies,1999,Electronic Arts,Shooter
377,7582,Baseball,1983,Nintendo,Sports
378,2907,Killer Instinct,1995,Nintendo,Fighting
379,6444,WWF SmackDown! 2: Know Your Role,2000,THQ,Fighting
380,2407,Crisis Core: Final Fantasy VII,2007,Square Enix,Role-Playing
381,552,God of War: Chains of Olympus,2008,Sony Computer Entertainment,Action
382,145497,Dragon Quest VI: Maboroshi no Daichi,1995,Enix Corporation,Role-Playing
383,175660,Dance Central,2010,MTV Games,Misc
384,1003,Enter the Matrix,2003,Atari,Action
385,7339,Super Mario Maker,2015,Nintendo,Platform
386,8167,Rhythm Heaven,2008,Nintendo,Misc
387,9763,Ace Combat 04: Shattered Skies,2001,Sony Computer Entertainment Europe,Simulation
388,78695,Club Penguin: Elite Penguin Force,2008,Disney Interactive Studios,Adventure
389,2655,Animal Crossing,2001,Nintendo,Simulation
390,19258,Sonic Rush,2005,Sega,Platform
391,1082,Resident Evil 6,2012,Capcom,Shooter
392,7348,Halo: The Master Chief Collection,2014,Microsoft Game Studios,Shooter
393,3135,FIFA Soccer 08,2007,Electronic Arts,Sports
394,198902,Spider-Man,2000,Activision,Action
395,92,Need for Speed III: Hot Pursuit,1998,Electronic Arts,Racing
396,NA,Star Wars Episode I Racer,1999,Nintendo,Racing
