gameID,ratingOrg,rating,ageAbove
19649,USK,USK_12,12
19649,CLASS_IND,CLASS_IND_Fourteen,14
19649,ACB,ACB_M,12
19652,ESRB,E10,10
19655,ESRB,E,6
19657,PEGI,Twelve,12
19657,ESRB,T,13
19658,ESRB,T,13
19658,PEGI,Twelve,12
19658,USK,USK_12,12
19658,CLASS_IND,CLASS_IND_Fourteen,14
19658,ACB,ACB_M,12
19664,PEGI,Twelve,12
19664,ESRB,E10,10
19665,CLASS_IND,CLASS_IND_Ten,10
19665,ESRB,T,13
19666,ESRB,E,6
19673,ESRB,E,6
19675,PEGI,Seven,7
19675,ESRB,E,6
19686,ESRB,M,17
19686,CERO,CERO_D,17
19686,PEGI,Eighteen,18
